1980 St Helens Ash Bed	0.0117	0.0000	0.0117	0.0000
1st Massive Sand Bed	66.0000	61.6000	59.2000	56.0000
2-38 Sand	15.9700	13.8200	15.9700	13.8200
2nd Massive Sand	72.1000	66.0000	72.1000	66.0000
3rd Massive Sand Bed	72.1000	66.0000	72.1000	66.0000
A Unit of Salina Gp	433.4000	427.4000	427.4000	423.0000
A-1 Carbonate of Salina Gp	433.4000	427.4000	427.4000	423.0000
A-1 Evaporite of Salina Gp	433.4000	427.4000	433.4000	427.4000
A-2 Carbonate of Salina Gp	427.4000	423.0000	427.4000	423.0000
A-2 Evaporite of Salina Gp	427.4000	423.0000	427.4000	423.0000
A-C	427.4000	423.0000	423.0000	419.2000
Abbeville Mbr	20.4400	15.9700	20.4400	15.9700
Abbey Limestone	55.5000	53.0000	43.0000	37.0000
Abbey Mudstone	43.0000	37.0000	34.3000	27.3000
Abbotsford Fm	43.0000	37.0000	43.0000	37.0000
Abbotsford Fm	65.0000	55.5000	65.0000	55.5000
Abbotsford Fm	55.5000	53.0000	49.5000	46.2000
Abbotsford Fm	49.5000	46.2000	49.5000	46.2000
Abbotsford Fm	65.0000	55.5000	55.5000	53.0000
Abbotsford Fm	84.0000	65.0000	84.0000	65.0000
Abbotsford Fm	65.0000	55.5000	49.5000	46.2000
Abbott	323.2000	315.2000	315.2000	308.0000
Abbott Fm	323.2000	315.2000	315.2000	308.0000
Abel Head Fm	34.3000	27.3000	34.3000	27.3000
Abel Head Fm	27.3000	25.2000	27.3000	25.2000
Abel Head Fm	34.3000	27.3000	27.3000	25.2000
Abel Head Fm (Otaraoa)	34.3000	27.3000	34.3000	27.3000
Abercrombie Fm	513.0000	501.0000	513.0000	501.0000
Aberdeen Metagabbro Complex	513.0000	501.0000	492.5000	485.4000
Able Gap Fm	423.0000	419.2000	410.8000	407.6000
Able Mbr of Lehigh Acres Fm	125.0000	113.0000	125.0000	113.0000
Abo Fm	298.9000	280.0000	280.0000	272.3000
Abo Fm	298.9000	280.0000	298.9000	280.0000
Above Scalez Sand	3.6000	2.5880	3.6000	2.5880
Abrams Mica Schist	410.8000	407.6000	379.0000	372.2000
Abrigo Fm	501.0000	496.8000	496.8000	492.5000
Abrigo Fm	513.0000	501.0000	501.0000	496.8000
Absaroka-Gallatin Volcanics	47.8000	41.3000	33.9000	28.1000
Abuillot Fm	56.0000	47.8000	41.3000	38.0000
Acalapa Fm	2.5880	0.0117	2.5880	0.0117
Achiote Fm	86.3000	83.6000	83.6000	72.1000
Ackerman Fm	59.2000	56.0000	59.2000	56.0000
Active	485.4000	477.7000	453.5000	450.0000
Active	485.4000	477.7000	453.5000	452.0000
Ada Fm	305.0000	298.9000	305.0000	298.9000
Adamant	307.0000	305.0000	89.8000	86.3000
Adamant	168.3000	166.1000	166.1000	163.5000
Adamellite and Granite at Pellisier Flat	163.5000	157.3000	157.3000	152.1000
Adamellite at Owlshead Peak	113.0000	100.5000	100.5000	93.9000
Adamellite in Boundary Peak	89.8000	86.3000	86.3000	83.6000
Adams Argillite	513.0000	501.0000	513.0000	501.0000
Adams Bjerg Fm	440.8000	438.5000	440.8000	438.5000
Adams Branch Limestone	307.0000	305.0000	307.0000	305.0000
Adams Fm	541.0000	513.0000	541.0000	513.0000
Adams Sound	1600.0000	1000.0000	850.0000	541.0000
Adams Sound Fm	1600.0000	1000.0000	1600.0000	1000.0000
Adams Sound Fm of Eqalulik Gp	1300.0000	850.0000	1300.0000	850.0000
Adaville Fm	93.9000	89.8000	93.9000	89.8000
Adel Mountain Volcanics	66.0000	61.6000	59.2000	56.0000
Admiral Fm	298.9000	280.0000	298.9000	280.0000
Admire Gp	298.9000	280.0000	298.9000	280.0000
Admire Gp and Council Grove Gp	298.9000	280.0000	298.9000	280.0000
Agamenticus Complex	237.0000	228.0000	228.0000	208.5000
Agassiz Prairie	163.5000	157.3000	163.5000	157.3000
Agassiz Prairie	157.3000	152.1000	157.3000	152.1000
Agnostus Cove	501.0000	496.8000	501.0000	496.8000
Agricola Schist	541.0000	513.0000	541.0000	513.0000
Agua Nueva	93.9000	89.8000	93.9000	89.8000
Agua Nueva	100.5000	93.9000	93.9000	89.8000
Agua Nueva Fm	93.9000	89.8000	93.9000	89.8000
Agua Sandstone Mbr	23.0300	20.4400	23.0300	20.4400
Aguacate	7.2460	5.3330	5.3330	3.6000
Aguacate	13.8200	11.6200	5.3330	3.6000
Aguacate Fm	7.2460	5.3330	3.6000	2.5880
Agueguexquite Fm	2.5880	0.0117	2.5880	0.0117
Aguila Sandstone	93.9000	89.8000	93.9000	89.8000
Aguja Fm	83.6000	72.1000	72.1000	66.0000
Aida Fm	1600.0000	1000.0000	1600.0000	1000.0000
Aiken Mbr	125.0000	113.0000	100.5000	93.9000
Airy Fm	72.1000	66.0000	66.0000	56.0000
Ajax	453.5000	452.0000	453.5000	452.0000
Ajax	477.7000	470.0000	477.7000	470.0000
Ajax Dolomite	496.8000	492.5000	492.5000	485.4000
Ajibik Quartzite	2500.0000	541.0000	2500.0000	541.0000
Aklavik Fm	166.1000	163.5000	163.5000	157.3000
Aklavik Fm	163.5000	157.3000	163.5000	157.3000
Akron Dolomite of Bass Islands Gp	423.0000	419.2000	423.0000	419.2000
Al Rose Fm	485.4000	477.7000	477.7000	470.0000
Alacran Mountain Fm	298.9000	280.0000	298.9000	280.0000
Alapah Fm	346.7000	330.9000	323.2000	315.2000
Alapah Limestone	346.7000	330.9000	323.2000	315.2000
Alapah Limestone	333.0000	323.2000	323.2000	315.2000
Alapah Limestone	340.0000	333.0000	323.2000	315.2000
Alaska Bench Mbr of Amsden Fm	315.2000	308.0000	315.2000	308.0000
Alaska-aleutien Range Batholith	190.8000	182.7000	166.1000	163.5000
Alazan Fm	33.9000	28.1000	28.1000	23.0300
Albanel	2500.0000	1600.0000	2500.0000	1600.0000
Albee Fm	485.4000	477.7000	470.0000	464.0000
Albee Fm	477.7000	470.0000	470.0000	464.0000
Albert	358.9000	348.0000	358.9000	348.0000
Albion Gp	443.4000	440.8000	440.8000	438.5000
Alburnett Fm	2.5880	0.0117	2.5880	0.0117
Alcalde Shale Mbr	89.8000	86.3000	83.6000	72.1000
Alcova Limestone	242.0000	237.0000	228.0000	208.5000
Alcova Limestone	237.0000	228.0000	228.0000	208.5000
Alderton Fm	2.5880	0.0117	2.5880	0.0117
Alderton Limestone of Greenbrier Gp	333.0000	323.2000	333.0000	323.2000
Aldridge	1400.0000	1300.0000	1400.0000	1300.0000
Aldridge	1600.0000	1000.0000	1600.0000	1000.0000
Aldridge	1600.0000	1300.0000	1600.0000	1300.0000
Aldridge	1600.0000	1300.0000	1400.0000	1300.0000
Aldridge Fm	1600.0000	1000.0000	1600.0000	1000.0000
Aldwell Fm	47.8000	41.3000	41.3000	38.0000
Alegria Fm	33.9000	28.1000	28.1000	23.0300
Aleman Fm	453.5000	452.0000	452.0000	450.0000
Aleman Fm	452.0000	450.0000	452.0000	450.0000
Aleman Mbr of Montoya Fm	452.0000	450.0000	452.0000	450.0000
Aleqatsiaq Fjord Fm	452.0000	450.0000	443.4000	440.8000
Aleqatsiaq Fjord Fm	445.2000	443.4000	443.4000	440.8000
Alex Allan Fm	307.0000	305.0000	307.0000	305.0000
Alexandra	379.0000	372.2000	379.0000	372.2000
Alexandra Volcanics	3.6000	3.0000	3.0000	2.4000
Alexandra Volcanics	2.4000	1.6300	2.4000	1.6300
Alexandra Volcanics	3.0000	2.4000	2.4000	1.6300
Alexo Fm	372.2000	358.9000	372.2000	358.9000
Alexo Fm	382.7000	372.2000	382.7000	372.2000
Alferitz Siltstone	15.9700	13.8200	13.8200	11.6200
Alfred Complex and Tatnic Complex	132.9000	129.4000	129.4000	125.0000
Algoman Intrusive Rocks	4000.0000	2500.0000	4000.0000	2500.0000
Ali Malina Fm	201.3000	199.3000	199.3000	190.8000
Alibates Gypsum Mbr	259.9000	252.1700	259.9000	252.1700
Alkali Gabbro	157.3000	152.1000	139.8000	132.9000
Alkalic Extrusives and Intrusives	2.5880	0.0117	2.5880	0.0117
Alkazar Fm	59.2000	56.0000	59.2000	56.0000
Allan Hollow Shale Mbr	93.9000	89.8000	89.8000	86.3000
Allan Mountain Limestone	358.9000	348.0000	348.0000	340.0000
Allandale Rhyolite	10.9200	6.5000	10.9200	6.5000
Allard Lake	1400.0000	1300.0000	1400.0000	1300.0000
Allegheny Fm	308.0000	307.0000	308.0000	307.0000
Allegheny Fm	315.2000	308.0000	308.0000	307.0000
Allegheny Gp	308.0000	307.0000	308.0000	307.0000
Allen Bay	443.4000	440.8000	427.4000	423.0000
Allen Bay	440.8000	438.5000	433.4000	427.4000
